,methods,mean,sd
0,credo_QNN,0.9013265306122451,0.011143105894375803
1,credo_QNN_adaptive,0.9000680272108842,0.01356885768597628
2,cqr,0.9047278911564626,0.010770631417081192
3,cqrr,0.9044557823129252,0.010425064354958154
4,uacqrs,0.9027696793002914,0.010364785718027963
5,uacqrp,0.9019314868804668,0.010041560195708791
6,EPIC,0.9024829931972789,0.02098701140534777
