,methods,mean,sd
0,credo_QNN,0.9002091037364751,0.01681236235626588
1,credo_QNN_adaptive,0.9007198392146745,0.013930382448327379
2,cqr,0.8865273809637565,0.016283618740510736
3,cqrr,0.8856537000054148,0.016723778935990488
4,uacqrs,0.8856537000054147,0.015047357087161522
5,uacqrp,0.8895102545236799,0.014693713091943826
6,EPIC,0.8902391713567693,0.016894471433669563
