,methods,mean,sd
0,credo_QNN,1.6441217610771452,0.21108551178720647
1,credo_QNN_adaptive,1.6366784133729617,0.20551761431765458
2,cqr,1.3582392852516965,0.10997382303309138
3,cqrr,1.4020741778952366,0.12380847086851947
4,uacqrs,1.361187203556829,0.11417086985200942
5,uacqrp,1.4422219629051691,0.14058290590163727
6,EPIC,1.503978886430536,0.15263323356409578
