,methods,mean,sd
0,credo_QNN,461856.8060645616,12661.549684230773
1,credo_QNN_adaptive,432057.7028547468,10075.953956131996
2,cqr,428142.9760895807,13997.74217030371
3,cqrr,425948.71200201067,13065.757085410358
4,uacqrs,432517.7357732567,13568.155644339637
5,uacqrp,443312.87326613243,15552.247696873032
6,EPIC,417177.4405517395,12783.681499260249
