,methods,mean,sd
0,credo_QNN,61.77096466239272,3.838500749937563
1,credo_QNN_adaptive,57.20536428845203,4.117385686316255
2,cqr,58.82399578506034,5.731198340491035
3,cqrr,58.59423811070675,5.677324557565541
4,uacqrs,56.453097342328014,5.054587845155456
5,uacqrp,58.81508496127332,5.572784183327643
6,EPIC,57.90578479230252,5.57459700573287
