,methods,mean,sd
0,credo_QNN,0.8979911127568969,0.0032331878158396612
1,credo_QNN_adaptive,0.8998271924952168,0.003107304415220852
2,cqr,0.899318027525767,0.003834802288288643
3,cqrr,0.8989446398815034,0.004182469064931136
4,uacqrs,0.8992995124359685,0.004084671516050389
5,uacqrp,0.8991575634141825,0.004135396827428726
6,EPIC,0.8960408566314881,0.012311262147639276
